\\Yearly Intertie Schedule and Flow Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Created at 2025-06-21 08:01:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\For 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MANITOBA,MANITOBA,MANITOBA,MANITOBA SK,MANITOBA SK,MANITOBA SK,MICHIGAN,MICHIGAN,MICHIGAN,MINNESOTA,MINNESOTA,MINNESOTA,NEW-YORK,NEW-YORK,NEW-YORK,PQ.AT,PQ.AT,PQ.AT,PQ.B5D.B31L,PQ.B5D.B31L,PQ.B5D.B31L,PQ.D4Z,PQ.D4Z,PQ.D4Z,PQ.D5A,PQ.D5A,PQ.D5A,PQ.H4Z,PQ.H4Z,PQ.H4Z,PQ.H9A,PQ.H9A,PQ.H9A,PQ.P33C,PQ.P33C,PQ.P33C,PQ.Q4C,PQ.Q4C,PQ.Q4C,PQ.X2Y,PQ.X2Y,PQ.X2Y,Total,Total,Total
Date,Hour,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow
2025-01-01,1,85,0,-86,0,0,20,0,712,544,0,50,44,0,1600,1698,9,1131,1121,0,0,348,0,0,2,0,0,0,0,9,16,0,0,0,0,0,1,0,0,135,0,0,0,94,3502,3843
2025-01-01,2,85,0,-88,0,0,19,0,902,711,0,24,21,0,1600,1733,9,1239,1232,0,0,348,0,0,2,0,0,0,0,9,12,0,0,0,0,0,1,0,0,136,0,0,0,94,3774,4127
2025-01-01,3,85,41,-44,0,0,19,0,1194,1043,0,46,42,0,1600,1683,9,1239,1234,0,0,349,0,0,2,0,0,0,0,9,11,0,0,0,0,0,1,0,0,136,0,0,0,94,4129,4476
2025-01-01,4,85,41,-44,0,0,19,0,852,1015,0,46,42,0,1400,1331,9,1239,1234,0,0,349,0,0,2,0,0,0,0,9,11,0,0,0,0,0,1,0,0,137,0,0,0,94,3587,4097
2025-01-01,5,85,24,-62,0,0,19,0,1152,1227,0,47,44,0,1600,1498,9,1239,1231,0,0,349,0,0,2,0,0,0,0,9,12,0,0,0,0,0,1,0,0,142,0,0,0,94,4071,4463
2025-01-01,6,85,24,-58,0,0,19,0,1002,1206,0,50,45,0,1600,1444,9,1179,1173,0,0,348,0,0,2,0,0,0,0,9,11,0,0,0,0,0,1,0,0,144,0,0,0,94,3864,4335
2025-01-01,7,0,0,2,0,0,19,0,917,1165,0,50,43,0,1600,1332,9,1239,1226,0,0,348,0,0,2,0,0,0,0,9,10,0,0,0,0,0,1,0,0,142,0,0,0,9,3815,4290
2025-01-01,8,0,40,43,0,0,20,0,1027,1338,0,12,17,0,1801,1480,9,1089,1077,0,0,347,0,0,2,0,0,0,0,9,3,0,0,0,0,0,1,0,0,138,0,0,0,9,3978,4466
2025-01-01,9,0,10,14,0,0,20,0,802,915,0,37,36,0,1843,1668,9,1035,1026,0,0,347,0,0,2,0,0,0,0,9,7,0,0,0,0,0,1,0,0,138,0,0,0,9,3736,4174
2025-01-01,10,0,10,6,0,0,21,0,512,626,0,47,45,0,1625,1456,9,1089,1080,0,0,347,0,0,2,0,0,0,0,9,9,0,0,0,0,0,1,0,0,137,0,0,0,9,3292,3730
2025-01-01,11,0,0,-2,0,0,21,0,192,249,0,37,39,0,1400,1342,9,1116,1101,0,0,347,0,0,2,0,0,0,0,9,9,0,0,0,0,0,1,0,0,137,0,0,0,9,2754,3246
2025-01-01,12,0,0,0,0,0,21,140,141,110,0,0,0,0,1402,1334,9,941,935,0,0,348,0,0,2,0,0,0,0,9,12,0,0,0,0,0,1,0,0,137,0,0,0,149,2493,2900
2025-01-01,13,0,0,-3,0,0,21,0,156,151,0,12,9,0,1306,1412,9,1136,1123,0,0,348,0,0,2,0,0,0,0,9,13,0,0,0,0,0,1,0,0,136,0,0,0,9,2619,3213
2025-01-01,14,0,0,-2,0,0,21,0,311,226,0,47,44,0,1322,1393,9,1131,1125,0,0,349,0,0,2,0,0,0,0,9,11,0,0,0,0,0,1,0,0,136,0,0,0,9,2820,3306
2025-01-01,15,0,10,10,0,0,21,0,609,414,0,37,38,0,1413,1584,9,1109,1092,0,0,349,0,0,2,0,0,0,0,9,12,0,0,0,0,0,1,0,0,136,0,0,0,9,3187,3659
2025-01-01,16,0,10,12,0,0,22,0,711,464,0,47,41,0,1580,1783,9,1058,1050,0,0,349,0,0,2,0,0,0,0,9,13,0,0,0,0,0,1,0,0,136,0,0,0,9,3415,3873
